"Date","TotalKgActiveSubstanceSold","AverageAntibioticsRealPricePerKg","AvrakningsprisKrPerKg","RealAvrakningsprisKrPerKg","headCount","companyCount","ln_AverageAntibioticsRealPricePerKg","ln_TotalKgActiveSubstanceSold","ln_headCount","ln_RealAvrakningsprisKrPerKg","ln_companyCount"
2011-04-01,59.49,2256.04413315908,1285.49,1719.23775075794,1488822,1364,7.72136817499712,4.08580823119981,14.2134957612026,7.44963630341548,7.21817683840341
2011-05-01,57.285,2098.40326667256,1324.75,1771.74479017074,1485758,1331,7.64893198529591,4.04803880934559,14.2114356377004,7.47972009718695,7.19368581839511
2011-06-01,63.465,2068.08309294825,1352.59,1808.97851348333,1482591,1297,7.63437741516359,4.15048857284014,14.2093017907695,7.50051760775888,7.16780918431644
2011-07-01,48.885,2161.51667354111,1402.54,1875.78255369395,1472818,1282,7.67856541795307,3.88947060095763,14.202688130445,7.53678121330334,7.15617663748062
2011-08-01,68.325,2127.40591326091,1413.96,1891.05586979416,1462720,1266,7.66265863538544,4.22427573181413,14.1958082741255,7.54489061332733,7.14361760270412
2011-09-01,64.86,2068.80925383827,1457.37,1949.11319483006,1452621,1251,7.63472848105393,4.17223110087917,14.1888800688857,7.57512977623568,7.13169851046691
2011-10-01,62.43,2220.75783572004,1490.93,1993.99695037498,1442849,1236,7.70560378405518,4.13404592907365,14.1821301891759,7.5978964211199,7.11963563801764
2011-11-01,59.61,2078.81840216223,1564.38,2092.23031881283,1432750,1220,7.63955493539558,4.08782334523184,14.175106232414,7.64598591415961,7.1066061377273
2011-12-01,60.99,2080.19049763865,1538.56,2057.69818030956,1422978,1205,7.64021475390488,4.11070991630837,14.1682624166573,7.62934324884076,7.09423484592476
2012-01-01,61.425,2107.54374947673,1578.51,2111.12803829583,1412879,1189,7.65327844860561,4.11781691840724,14.1611400245958,7.65497769892034,7.08086789669078
2012-02-01,69.63,2289.13020059941,1561.49,2088.36518014999,1402781,1174,7.73592719933071,4.24319550895446,14.1539672528165,7.64413682841808,7.06817200038804
2012-03-01,82.845,2187.49389991551,1561.49,2088.36518014999,1393334,1159,7.69051182961783,4.41697139202126,14.1472099943016,7.64413682841808,7.05531284333975
2012-04-01,68.535,2139.10671948548,1561.49,2088.36518014999,1383235,1144,7.6681436000704,4.22734456368334,14.1399355166748,7.64413682841808,7.04228617193974
2012-05-01,69.3,2252.29055758504,1589.79,2126.2141158449,1373462,1129,7.71970300295518,4.23844490619586,14.1328451175894,7.66209826683393,7.02908756414966
2012-06-01,59.16,2218.49910201989,1612.39,2156.43976767193,1363364,1113,7.70458616604985,4.0802456378426,14.1254657329854,7.67621388510285,7.01481435127554
2012-07-01,68.535,2042.67457794793,1612.39,2156.43976767193,1366283,1127,7.6220152957611,4.22734456368334,14.1276044718866,7.67621388510285,7.02731451403978
2012-08-01,99,2216.3301188572,1612.39,2156.43976767193,1369299,1141,7.70360800737559,4.59511985013459,14.1298094880199,7.67621388510285,7.03966034986208
2012-09-01,74.37,2142.84013505874,1623.68,2171.53921940322,1372315,1155,7.66988739402495,4.30905263471521,14.1320096527525,7.68319151278494,7.05185562295589
2012-10-01,74.355,2057.8910434306,1634.97,2186.63867113451,1375233,1169,7.62943697205301,4.30885092014065,14.1341337292725,7.69012079035324,7.06390396147207
2012-11-01,79.44,2079.04008786122,1646.24,2201.71137450136,1378249,1183,7.63966156995264,4.37500201973692,14.1363244108939,7.69699023444158,7.07580886397839
2012-12-01,69.915,2074.2521809899,1646.24,2201.71137450136,1381168,1197,7.63735597300336,4.24728021849281,14.1384400759701,7.69699023444158,7.08757370555797
2013-01-01,88.05,2145.92510710698,1739.3,2326.17151428115,1384184,1211,7.67132602374987,4.47790483494222,14.1406213542998,7.75197906822819,7.09920174355309
2013-02-01,77.835,2212.27745617521,1755.5,2347.8376894846,1387200,1226,7.70177778704353,4.35459120148781,14.1427978850084,7.76125005142257,7.11151211649616
2013-03-01,65.16,2374.17415142689,1754.58,2346.60726471996,1389924,1239,7.77240493028314,4.17684578373384,14.1447596273531,7.76072584683403,7.12205988162914
2013-04-01,84.045,2369.36160019406,1770.65,2368.09957555449,1392940,1253,7.77037583083664,4.43135236968536,14.1469271793289,7.76984304560734,7.13329595489607
2013-05-01,78.555,2321.23608270494,1769.52,2366.58829296314,1395859,1267,7.74985511704526,4.36379901639956,14.149020554338,7.76920465816358,7.14440718032114
2013-06-01,75.345,2298.31727268785,1768.26,2364.90314600287,1398875,1281,7.7399325135818,4.32207756587012,14.1511789001203,7.76849234702311,7.15539630189673
2013-07-01,80.685,2379.14889905717,1784.13,2386.12797319291,1397121,1281,7.77449809727128,4.39055268439332,14.1499242486615,7.7774272362543,7.15539630189673
2013-08-01,67.785,2308.45253378401,1799.96,2407.29930365406,1395308,1281,7.74433268023858,4.21634093153135,14.1486257373979,7.7862607772292,7.15539630189673
2013-09-01,72.9,2174.28560519821,1815.75,2428.41713738631,1393495,1281,7.68445543218871,4.28908863901461,14.1473255378102,7.79499494030036,7.15539630189673
2013-10-01,102.195,2094.71079636583,1814.16,2426.29064241264,1391741,1281,7.64717077813308,4.62688275289374,14.1460660393462,7.79411888546611,7.15539630189673
2013-11-01,75.36,2054.992900363,1812.46,2424.0170314345,1389928,1281,7.62802767211318,4.32227663026811,14.1447625052041,7.79318137333387,7.15539630189673
2013-12-01,83.715,2012.31012766506,1810.64,2421.58293026967,1388173,1282,7.60703865833998,4.42741817290851,14.1434990520514,7.79217670873555,7.15617663748062
